Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Neutral,Total,Neutral_Pos,Neutral_Neg
76.39,75.305,1.1550000000000011,4.1163723197023865,7.402498158789212,Consumer Discretionary,Sell,24.41651706,10.95152603,1114,64.63195691,32.44175769,10.95152603
75.39,74.8,1.5,0.9349212550998406,5.359795792398952,Consumer Discretionary,Keep,26.84310019,7.088846881,1058,66.06805293,36.30443684,7.088846881
74.63,73.61500000000001,1.769999999999996,3.837081513563782,12.538481890476875,Consumer Discretionary,Sell,33.96017699,8.296460177,904,57.74336283,35.09682354,8.296460177
74.28,71.61,3.6599999999999966,2.5651216427685264,15.083010410711667,Consumer Discretionary,Sell,28.53598015,8.933002481,806,62.53101737,34.46028124,8.933002481
72.45,71.125,4.670000000000002,1.5078621254390798,11.253648266361765,Consumer Discretionary,Keep,35.57358053,12.3986095,863,52.02780997,35.57358053,16.97751581
69.54,72.89,1.8049999999999928,4.61336516928948,16.62134528734343,Consumer Discretionary,Buy,32.80254777,12.42038217,942,54.77707006,32.80254777,14.25002839
72.53,72.31,2.8200000000000074,3.628753249488101,6.732644397161099,Consumer Discretionary,Keep,28.89576883,11.24871001,969,59.85552116,32.14457371,11.24871001
73.51,72.13,4.060000000000002,3.586858394535378,14.815650438682011,Consumer Discretionary,Keep,32.57661748,9.53461975,881,57.88876277,33.85866397,9.53461975
71.81,72.505,1.7000000000000028,2.534433841277312,17.53161218106015,Consumer Discretionary,Keep,27.48091603,8.142493639,786,64.37659033,35.25079008,8.142493639
73.13,72.87,2.2750000000000057,1.48997956427718,11.2916848228354,Consumer Discretionary,Keep,30.93053735,10.22280472,763,58.84665793,33.170479,10.22280472
71.86,74.82,2.5600000000000023,1.3592691138008812,14.07234485049997,Consumer Discretionary,Keep,31.26293996,11.5942029,966,57.14285714,31.79908082,11.5942029
74.29,75.88,1.0899999999999892,4.126506182268764,9.189441053013852,Consumer Discretionary,Buy,31.81818182,10.70075758,1056,57.48106061,32.69252615,10.70075758
75.72,75.92,1.5,2.617142511370949,17.90869739915419,Consumer Discretionary,Keep,28.34645669,11.81102362,889,59.84251969,31.5822601,11.81102362
76.14,72.85,2.1599999999999966,4.776278440431197,5.641925275379841,Consumer Discretionary,Keep,32.48081841,13.29923274,782,54.21994885,32.48081841,15.68600017
72.84,73.09,1.7600000000000051,1.4343626847830868,14.296208398968473,Consumer Discretionary,Keep,38.02978236,10.53837342,873,51.43184422,38.02978236,15.71324548
73.22,74.25999999999999,2.489999999999995,3.016557033979496,15.504410371242365,Consumer Discretionary,Keep,33.33333333,12.31343284,804,54.35323383,33.33333333,14.56691529
73.49,75.465,2.009999999999991,4.331088425619717,10.987069936552668,Consumer Discretionary,Buy,31.66069295,10.51373955,837,57.8255675,32.87954417,10.51373955
75.52,76.575,1.809999999999988,0.5502455542463718,13.06019635185681,Consumer Discretionary,Buy,31.25864454,9.681881051,723,59.05947441,33.71140267,9.681881051
76.25,76.655,3.160000000000011,3.0436776529279355,8.675018163659782,Consumer Discretionary,Keep,34.77737665,9.747292419,831,55.47533093,34.77737665,10.87867777
77.74,75.735,1.2700000000000102,3.091564576423782,18.498513890269585,Consumer Discretionary,Sell,32.17286915,11.76470588,833,56.06242497,32.17286915,12.30899719
76.06,74.82,2.549999999999997,1.31001393900661,14.99829637367402,Consumer Discretionary,Keep,30.34571063,10.88348271,781,58.77080666,32.50980101,10.88348271
75.51,74.39,2.180000000000007,4.763947240478172,9.726665284383785,Consumer Discretionary,Sell,33.78561737,12.89009498,737,53.32428765,33.78561737,16.17252361
73.63,74.955,1.8024999999999949,4.859339593259698,13.3057954378708,Consumer Discretionary,Buy,33.22834646,11.18110236,635,55.59055118,33.22834646,12.19726747
74.77,73.02000000000001,4.700000000000003,2.543215126694742,17.06152370924277,Consumer Discretionary,Keep,30.85221143,13.26860841,927,55.87918015,30.85221143,13.99614454
74.25,71.245,1.5600000000000025,4.649262684763172,10.037023377268149,Consumer Discretionary,Sell,35.48387097,12.14824983,1457,52.3678792,35.48387097,16.38708691
71.06,70.59,2.4299999999999926,0.741923575947125,10.919001207975692,Consumer Discretionary,Keep,30.26052104,13.32665331,998,56.41282565,30.26052104,13.52054394
74.71,74.465,0.6850000000000023,3.547920968750957,17.47228651677475,IT,Keep,36.96236559,11.96236559,744,51.07526882,40.82504764,11.96236559
74.67,74.345,1.0100000000000051,3.632397380759586,8.482225322168546,IT,Keep,39.88919668,10.38781163,722,49.72299169,42.3996016,10.38781163
74.0,75.595,1.1600000000000108,2.868031468366918,19.364805170439265,IT,Buy,40.84302326,9.88372093,688,49.27325581,42.9036923,9.88372093
75.22,75.83500000000001,0.4899999999999949,4.180043844885249,9.90603413060134,IT,Buy,42.51893939,8.049242424,1056,49.43181818,44.7381708,8.049242424
75.67,76.13,0.6899999999999977,3.787000638182752,11.845122488399772,IT,Sell,41.78321678,9.965034965,572,48.25174825,42.82237826,9.965034965
75.97,76.31,0.4899999999999949,4.226944223801339,8.369386420677532,IT,Buy,31.93779904,21.53110048,836,46.53110048,31.93779904,22.21258677
76.33,76.39,0.5099999999999909,4.663560525882181,6.951168589883654,IT,Keep,43.92265193,13.39779006,724,42.67955801,43.92265193,17.93081882
76.36,76.805,0.9200000000000016,4.331730848500509,10.528913458643228,IT,Keep,46.26038781,9.972299169,722,43.76731302,46.26038781,13.41757292
76.49,77.53999999999999,0.5799999999999983,1.0430093083886085,10.441699611351297,IT,Buy,41.68865435,9.366754617,758,48.94459103,43.42065861,9.366754617
77.59,77.535,0.4600000000000079,1.0905039870043882,12.027704563694677,IT,Buy,39.2033543,9.433962264,477,51.36268344,43.35345097,9.433962264
77.42,77.53,0.3700000000000045,2.506231684367859,7.485075185512331,IT,Keep,35.61643836,8.592777086,803,55.79078456,44.19463615,8.592777086
77.47,77.64,0.4799999999999897,3.815538849629552,6.903325464040585,IT,Keep,49.33494559,7.134220073,827,43.53083434,49.33494559,10.8159725
77.67,77.74,0.5800000000000125,3.321588056975823,10.810694752912926,IT,Keep,38.88149134,7.323568575,751,53.79494008,45.46384465,7.323568575
77.57,78.565,0.75,2.9987271961273816,18.41954022652423,IT,Sell,37.60932945,10.93294461,686,51.45772595,41.85446863,10.93294461
78.32,78.91,0.5799999999999983,4.405447407316904,7.407038882150687,IT,Buy,39.15022762,10.92564492,659,49.92412747,41.86176832,10.92564492
78.99,78.88,0.7400000000000091,2.031507383876617,10.533188448018311,IT,Keep,35.59950556,7.787391842,809,56.6131026,45.00002139,7.787391842
78.9,78.60499999999999,1.0899999999999892,2.160994109894438,10.571630809447688,IT,Keep,32.38341969,13.86010363,772,53.75647668,38.9273096,13.86010363
78.58,78.98,0.6700000000000017,1.688618812896655,17.457501430430277,IT,Buy,40.89219331,11.24535316,1076,47.86245353,41.54206007,11.24535316
79.2,84.09,2.5900000000000034,4.129082278478813,18.54218402757032,IT,Buy,35.90285111,9.186906019,1894,54.91024287,43.60050721,9.186906019
84.37,83.795,1.2199999999999989,1.657987457894519,16.743986382934793,IT,Keep,39.65707965,7.35619469,1808,52.98672566,45.43121854,7.35619469
83.7,83.77000000000001,1.25,1.056792179670642,19.26132889444657,IT,Keep,33.0726257,10.94972067,895,55.97765363,41.83769256,10.94972067
84.36,83.43,0.8800000000000097,3.950295866393926,7.028332585565756,IT,Sell,36.06998654,7.940780619,743,55.98923284,44.84663261,7.940780619
83.68,83.69999999999999,1.3399999999999892,1.569315599348955,17.530618652747634,IT,Keep,35.72359844,7.04041721,767,57.23598435,45.74699602,7.04041721
83.35,84.11,1.1400000000000006,2.904083514911337,17.13202298996977,IT,Buy,42.47246022,8.935128519,817,48.59241126,43.85228471,8.935128519
84.08,84.33500000000001,0.6175000000000068,4.427827679738133,5.401467920160711,IT,Keep,37.56019262,8.507223114,623,53.93258427,44.28019012,8.507223114
84.2,84.52,0.9699999999999988,1.2637060196694625,18.853978270308545,IT,Keep,37.71626298,8.131487889,578,54.15224913,44.65592534,8.131487889
84.77,84.1,1.3699999999999903,1.1317743078260811,12.783587323183404,IT,Keep,35.40903541,12.08791209,819,52.5030525,40.69950114,12.08791209
84.11,83.83000000000001,0.8649999999999949,1.0655381326849038,7.34099836575345,IT,Keep,39.54545455,10.15151515,660,50.3030303,42.63589808,10.15151515
83.79,83.795,0.480000000000004,2.256907743992209,18.97500874799052,IT,Keep,37.58389262,14.98881432,447,47.42729306,37.79859891,14.98881432
83.66,83.775,1.1199999999999903,4.225565716945396,16.87809660661985,IT,Keep,38.06970509,10.45576408,746,51.47453083,42.33164915,10.45576408
83.5,83.225,1.0,4.51667490363884,14.067769860307,IT,Keep,39.25831202,10.86956522,782,49.87212276,41.91784801,10.86956522
83.47,83.15,0.480000000000004,4.794613854221673,15.158434065887317,IT,Sell,41.35876043,11.08462455,839,47.55661502,41.70278868,11.08462455
83.1,82.76,0.8800000000000097,0.8158517767334432,11.167461468962674,IT,Keep,44.59320288,12.04943357,971,43.35736354,44.59320288,15.9046568
83.12,82.465,0.3400000000000034,4.324708467914386,11.183330710883933,IT,Sell,35.55900621,9.782608696,644,54.65838509,43.00480453,9.782608696
82.4,83.22999999999999,1.1000000000000083,0.7640394370037871,10.65115255809048,IT,Buy,37.93103448,18.96551724,638,43.10344828,37.93103448,23.07465573
82.74,83.47,0.8599999999999994,3.123870663511746,10.209286652533848,IT,Keep,44.57308249,8.683068017,691,46.74384949,44.57308249,9.151805297
83.83,83.135,0.6500000000000057,2.972422641326121,5.739231001333048,IT,Sell,35.65789474,10.26315789,760,54.07894737,42.52425534,10.26315789
83.01,83.59,0.6800000000000068,1.984069779740679,18.226999291199515,IT,Buy,37.59590793,12.53196931,391,49.87212276,40.25544392,12.53196931
83.31,84.475,1.0400000000000065,4.425195841979996,13.020818531564869,IT,Buy,39.03818953,15.2758133,707,45.68599717,39.03818953,16.8024029
84.07,84.025,1.7421999999999969,3.8170489467892095,5.550791894336954,IT,Sell,45.87628866,9.793814433,776,44.32989691,45.87628866,12.67650429
84.71,83.84,1.1799999999999926,4.729441687137415,18.825982852631974,IT,Sell,45.59748428,7.442348008,954,46.96016771,45.59748428,7.694767068
83.51,83.93,1.5900000000000034,4.7970680110175214,5.691175089379402,IT,Keep,41.95488722,9.473684211,665,48.57142857,43.31372902,9.473684211
83.6,82.75,3.7299000000000007,4.311658861972245,7.292053126739388,IT,Keep,41.16666667,10.0,600,48.83333333,42.78741323,10.0
84.42,81.465,1.6999000000000135,1.8410065608106323,18.249575512591683,IT,Sell,42.01030928,13.01546392,776,44.9742268,42.01030928,15.25382389
81.34,82.16499999999999,1.7099999999999935,0.6887803606032674,16.390944807462173,IT,Buy,47.04301075,8.602150538,744,44.35483871,47.04301075,11.4598986
81.55,82.515,0.7999999999999972,4.240627122902554,7.694109454569709,IT,Buy,39.35264055,12.09540034,587,48.55195911,40.69201289,12.09540034
82.54,83.895,1.25,2.089913143078076,13.170951200803676,IT,Buy,38.72633391,10.84337349,581,50.4302926,41.94403974,10.84337349
83.63,84.76,1.25,1.9885476384123464,18.597066595270924,IT,Keep,34.92537313,9.552238806,670,55.52238806,43.23517442,9.552238806
84.29,85.445,0.9699999999999988,4.269784737494907,16.2221233852697,IT,Buy,42.05933682,10.9947644,573,46.94589878,42.05933682,11.26145239
85.31,85.54499999999999,0.8299999999999983,2.9004642140386334,8.785533123431243,IT,Buy,42.79600571,10.12838802,701,47.07560628,42.79600571,10.26536851
85.74,85.06,1.343900000000005,1.3062599445772345,9.125989447137194,IT,Sell,53.72972973,9.081081081,925,37.18918919,53.72972973,19.10447866
85.43,86.055,2.210000000000008,3.0951990485524634,15.57360767825072,IT,Sell,38.56707317,17.68292683,656,43.75,38.56707317,21.1455136
85.26,86.75,1.2698999999999927,3.696951035918656,6.574673319795787,IT,Buy,44.56521739,9.64673913,736,45.78804348,44.56521739,11.07128242
87.12,86.09,1.0799999999999983,0.5113506115249781,13.058000800005017,IT,Sell,43.71584699,9.153005464,732,47.13114754,43.71584699,9.234444694
86.35,85.86,1.5900000000000034,3.0139965324673788,13.605716026083217,IT,Keep,45.42619543,14.65696466,962,39.91683992,45.42619543,21.95271151
86.2,85.775,0.6999999999999886,3.490699589846064,6.574712690808344,IT,Sell,42.22689076,11.34453782,952,46.42857143,42.22689076,12.12855316
86.05,85.45500000000001,0.7099999999999937,1.327180273397603,7.450080879091369,IT,Sell,43.76558603,10.2244389,802,46.00997506,43.76558603,11.42705061
85.4,85.355,0.5045999999999964,2.525302204068648,10.841890354236272,IT,Keep,43.24324324,8.445945946,592,48.31081081,44.34146728,8.445945946
85.31,85.68,0.7650000000000006,4.386675979611718,7.404313368005436,IT,Keep,35.0,7.884615385,520,57.11538462,44.90279785,7.884615385
85.65,85.81,0.3800000000000096,0.994382423880057,17.259827027544013,IT,Keep,36.95238095,17.52380952,525,45.52380952,36.95238095,19.21258677
85.9,85.58500000000001,0.5499999999999972,4.0781526173629015,7.398162008389028,IT,Sell,45.24886878,10.85972851,442,43.89140271,45.24886878,14.18091257
85.63,86.0375,0.8100000000000023,1.2921686695878318,11.026423303911685,IT,Buy,42.03187251,8.764940239,502,49.20318725,44.02247299,8.764940239
86.125,86.2025,0.5400000000000063,4.706209879251832,15.631915359552384,IT,Keep,42.96577947,11.78707224,526,45.24714829,42.96577947,13.75251072
86.055,86.85,1.0900000000000034,1.590161517375899,16.115437435811774,IT,Sell,39.18918919,11.14864865,592,49.66216216,41.63876458,11.14864865
86.59,87.925,0.9799999999999898,2.3051888618087046,8.301171400521618,IT,Buy,44.30769231,11.69230769,650,44.0,44.30769231,14.90489446
87.66,88.24000000000001,0.9753999999999934,2.3906731952611056,15.75933771605964,IT,Buy,39.01581722,11.42355009,569,49.56063269,41.36386314,11.42355009
88.2,88.435,0.8671999999999969,2.0140475749638176,12.130133887440897,IT,Keep,43.25955734,18.5110664,497,38.22937626,43.25955734,27.49427691
88.65,87.84,0.7800000000000011,3.930866248200261,15.322980483113325,IT,Sell,39.76531943,17.73142112,767,42.50325945,39.76531943,22.44074844
87.86,88.10499999999999,0.8900000000000006,1.5871449372991429,13.230208118191012,IT,Keep,38.68954758,15.60062402,641,45.70982839,38.68954758,17.1033824
88.13,89.125,1.3299999999999983,4.640681657428365,14.968034782822563,IT,Buy,42.33226837,10.86261981,626,46.80511182,42.33226837,11.27009476
88.67,89.225,2.779600000000002,4.1101209483397,15.56948954743998,IT,Keep,42.51012146,10.52631579,741,46.96356275,42.51012146,10.77533981
90.1,89.61,1.5300000000000011,1.1869131188358342,19.010341034974765,IT,Buy,38.97707231,9.347442681,567,51.67548501,43.43997055,9.347442681
89.08,89.94999999999999,1.0100000000000051,2.8824270563814003,13.539262711707028,IT,Keep,40.25157233,10.18867925,795,49.55974843,42.59873399,10.18867925
89.8,90.07,0.9500000000000028,1.726464705431174,10.257561892062222,IT,Keep,37.70287141,12.35955056,801,49.93757803,40.42786267,12.35955056
90.14,90.805,1.8800000000000097,4.638874664669791,11.60939321017746,IT,Keep,43.35766423,14.01459854,685,42.62773723,43.35766423,18.59944808
90.0,91.9,0.7599999999999909,3.7349546012589423,12.676344643394216,IT,Buy,36.54524089,11.04582844,851,52.40893067,41.74158479,11.04582844
91.9,92.185,1.8500000000000083,1.9352619090399648,9.769493135544344,IT,Sell,37.27678571,11.04910714,896,51.67410714,41.73830608,11.04910714
92.55,92.3975,1.309999999999988,3.5322832642081834,12.10923424693577,IT,Keep,40.9703504,10.51212938,742,48.51752022,42.27528385,10.51212938
92.465,93.59,1.480000000000004,2.660226717022133,17.804298622191162,IT,Buy,42.92565947,10.3117506,834,46.76258993,42.92565947,10.76174744
93.12,94.53,1.730000000000004,2.79927138852617,17.069869920822345,IT,Buy,42.49667995,12.08499336,753,45.41832669,42.49667995,13.87925344
95.14,93.02,1.5600000000000025,0.715215342439889,12.115559177306393,IT,Sell,37.00787402,12.99212598,1016,50.0,39.79528725,12.99212598
93.3,94.38,1.8900000000000008,1.6318032711037225,15.7548086412239,IT,Buy,36.55244029,12.04569055,963,51.40186916,40.74172268,12.04569055
93.75,94.525,2.4886999999999944,4.384127252436888,7.491296036985316,IT,Keep,40.2241594,10.64757161,1606,49.12826899,42.13984162,10.64757161
94.79,92.71,2.469999999999999,4.218942459928496,14.018338461606676,IT,Sell,36.23082542,13.87874361,1369,49.89043097,38.90866962,13.87874361
93.64,89.805,5.159999999999997,1.5207551789444569,13.750784056631366,IT,Sell,38.88242142,13.50407451,859,47.61350407,39.28333872,13.50407451
90.56,89.11,6.224999999999994,1.7997513111581414,12.11489697984746,IT,Keep,37.92667509,14.91782554,791,47.15549937,37.92667509,14.97491294
86.89,90.05,2.569999999999993,2.8381168373413024,17.902379133717353,IT,Keep,34.97706422,11.69724771,872,53.32568807,41.09016552,11.69724771
90.49,87.3,5.114999999999995,1.3622178439221324,6.616291021475477,IT,Keep,38.83277217,10.88664422,891,50.28058361,41.90076901,10.88664422
89.71,87.19999999999999,5.1000000000000085,4.659984419159146,12.04018930319164,IT,Keep,34.7553325,12.92346299,797,52.32120452,39.86395025,12.92346299
86.3,88.9325,1.8504999999999967,1.684344201283048,13.723400884744054,IT,Buy,37.11180124,13.50931677,644,49.37888199,39.27809646,13.50931677
88.735,89.38,2.200000000000003,2.5642184078361647,6.484622120150439,IT,Keep,35.5006502,11.96358908,769,52.53576073,40.82382416,11.96358908
88.93,89.66,2.5799999999999983,1.6990868201205844,19.39893262616229,IT,Keep,35.33083645,8.489388265,801,56.17977528,44.29802496,8.489388265
88.51,91.935,2.0999999999999943,2.725018262218323,5.474052524332437,IT,Buy,37.06896552,12.06896552,812,50.86206897,40.71844772,12.06896552
91.21,92.225,1.7000000000000028,2.7782155255937138,12.864078444624422,IT,Buy,45.83333333,11.52777778,720,42.63888889,45.83333333,16.10147566
92.45,92.0975,2.049999999999997,3.643504573628437,14.471038962981812,IT,Keep,40.5362776,12.30283912,634,47.16088328,40.5362776,12.35454261
91.475,92.235,1.8695000000000024,1.6489010713515306,17.00236735489214,IT,Keep,39.40809969,11.52647975,642,49.06542056,41.26093348,11.52647975
92.98,91.895,1.3700000000000043,1.9144791140543165,16.37359920538568,IT,Sell,35.05154639,10.43814433,776,54.51030928,42.3492689,10.43814433
92.05,93.405,1.7099999999999935,0.5857627476571211,12.823583573362594,IT,Buy,44.40052701,9.222661397,759,46.37681159,44.40052701,10.05843658
92.75,94.91,1.2000000000000028,1.594002866970826,12.092017395329696,IT,Keep,40.15748031,8.398950131,762,51.44356955,44.38846309,8.398950131
94.4,94.97,1.6400000000000006,2.082717081479239,6.377932782119515,IT,Keep,36.70886076,11.01265823,790,52.27848101,41.774755,11.01265823
95.74,94.305,2.075000000000003,2.603864884723351,15.619685202405195,IT,Sell,32.7607362,12.14723926,815,55.09202454,40.64017397,12.14723926
94.84,93.42,2.7299999999999898,2.1645252857009623,16.663126776324155,IT,Sell,47.98962387,8.560311284,771,43.45006485,47.98962387,12.3228332
93.99,92.315,2.2900000000000063,3.0934735900332875,15.582379010789918,IT,Sell,44.36619718,8.098591549,568,47.53521127,44.68882168,8.098591549
91.58,92.99,2.009999999999991,4.438504405958566,8.18202428065256,IT,Buy,44.95575221,11.32743363,565,43.71681416,44.95575221,14.82320624
92.34,93.83,1.5489999999999924,2.6688888103260253,19.692600362390245,IT,Keep,39.39899833,12.52086811,599,48.08013356,40.26654512,12.52086811
94.34,93.51,1.5105999999999966,1.0337398288309545,12.390812602966694,IT,Sell,38.80368098,10.12269939,652,51.07361963,42.66471384,10.12269939
93.16,94.35,1.3349999999999935,3.1400905546837503,14.53159192237506,IT,Buy,46.56160458,11.31805158,698,42.12034384,46.56160458,16.41029451
